State;Votes;VEP
Alabama;9;3,606,103
Alaska;3;519,501
Arizona;11;4,738,332
Arkansas;6;2,148,441
California;55;25,278,803
Colorado;9;3,978,892
Connecticut;7;2,572,337
Delaware;3;693,659
District of Columbia;3;516,771
Florida;29;14,601,373
Georgia;16;6,958,725
Hawaii;4;1,029,072
Idaho;4;1,161,211
Illinois;20;8,983,758
Indiana;11;4,860,929
Iowa;6;2,297,129
Kansas;6;2,065,761
Kentucky;8;3,276,707
Louisiana;8;3,391,431
Maine;4;1,058,306
Maryland;10;4,202,282
Massachusetts;11;4,978,165
Michigan;16;7,431,589
Minnesota;10;3,972,330
Mississippi;6;2,177,349
Missouri;10;4,519,978
Montana;3;803,833
Nebraska;5;1,353,558
Nevada;6;1,970,426
New Hampshire;4;1,041,147
New Jersey;14;6,093,144
New Mexico;5;1,459,901
New York;29;13,693,128
North Carolina;15;7,317,507
North Dakota;3;582,534
Ohio;18;8,753,269
Oklahoma;7;2,792,423
Oregon;7;3,006,638
Pennsylvania;20;9,737,690
Rhode Island;4;786,111
South Carolina;9;3,702,997
South Dakota;3;632,098
Tennessee;11;4,900,137
Texas;38;17,514,961
Utah;6;1,993,581
Vermont;3;496,439
Virginia;13;6,061,032
Washington;12;5,123,524
West Virginia;5;1,430,308
Wisconsin;10;4,295,057
Wyoming;3;431,011
